benchmark,task_column,task_id,task_predictability_proxy_max_abs_peer_spearman,task_unpredictability_score,observed_count,difficulty_tier,task_score,observed_mean,observed_std
omnimath,omnimath/omnimath_1023,omnimath_1023,0.5374838498865703,0.4625161501134297,16,saturated,0.9625,0.9625,0.0780624749799799
gaia2,gaia2/gaia2-cli/0517_oxez886zwaly15aj8qv73kmo8sgfyinn,gaia2-cli/0517_oxez886zwaly15aj8qv73kmo8sgfyinn,0.5392531465856502,0.46074685341434984,16,frontier,0.025,0.025,0.0661437827766147
usaco,usaco/818,818,0.5396300296406789,0.46036997035932115,16,hard,0.1375,0.1375,0.261904085496962
bigcodebench,bigcodebench/bigcodebench_763,bigcodebench_763,0.5422241601645106,0.4577758398354894,16,medium,0.4375,0.4375,0.3689088640843426
swebenchpro,swebenchpro/instance_ansible__ansible-cd473dfb2fdbc97acf3293c134b21cbbcfa89ec3-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,instance_ansible__ansible-cd473dfb2fdbc97acf3293c134b21cbbcfa89ec3-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,0.5474526769480053,0.45254732305199474,16,hard,0.05,0.05,0.1118033988749894
labbench,labbench/figqa-0053,figqa-0053,0.5476010148637187,0.4523989851362813,16,hard,0.1249999999999999,0.1249999999999999,0.1984313483298443
bfcl,bfcl/bfcl-simple-java-73,bfcl-simple-java-73,0.548362168088657,0.451637831911343,16,easy,0.8875,0.8875,0.1866648065383509
spreadsheetbench,spreadsheetbench/56915,56915,0.5485918107544298,0.45140818924557025,16,hard,0.125,0.125,0.2106537443294089
simpleqa,simpleqa/simpleqa-619,simpleqa-619,0.5523270505451462,0.4476729494548538,16,medium,0.5249999999999999,0.5249999999999999,0.4465142774872938
omnimath,omnimath/omnimath_29,omnimath_29,0.5524062322177494,0.4475937677822506,16,hard,0.0875,0.0875,0.140867845869808
spreadsheetbench,spreadsheetbench/32023,32023,0.5540283101259833,0.4459716898740167,16,hard,0.0875,0.0875,0.121834929310112
gso,gso/gso-huggingface--datasets-c5464b3,gso-huggingface--datasets-c5464b3,0.5552540227482115,0.44474597725178855,16,hard,0.2125,0.2125,0.1932453104217538
swtbench,swtbench/django__django-13809,django__django-13809,0.5569084418691705,0.44309155813082945,14,hard,0.2125,0.2142857142857143,0.2065261756400137
omnimath,omnimath/omnimath_3563,omnimath_3563,0.5581421677166015,0.4418578322833985,16,easy,0.8875,0.8875,0.140867845869808
swe-lancer,swe-lancer/24522-manager-0,24522-manager-0,0.5585334805868252,0.44146651941317483,16,hard,0.2125,0.2125,0.3119995993587171
livecodebench,livecodebench/3308,3308,0.5596615179686536,0.4403384820313464,16,hard,0.2125,0.2125,0.342554740151118
reasoning-gym,reasoning-gym/reasoning-gym-induction-list-functions-easy00cea0a5-seed45-0,reasoning-gym-induction-list-functions-easy00cea0a5-seed45-0,0.5598831981530351,0.4401168018469649,16,hard,0.0625,0.0625,0.1536025715930563
seal0,seal0/75,75,0.5632441359207933,0.43675586407920675,16,hard,0.2375,0.2375,0.3550968177835448
livecodebench,livecodebench/arc188_c,arc188_c,0.5640093857576962,0.4359906142423038,16,hard,0.1,0.1,0.1732050807568877
simpleqa,simpleqa/simpleqa-369,simpleqa-369,0.56496598177755,0.43503401822245,16,easy,0.75,0.75,0.2692582403567252
simpleqa,simpleqa/simpleqa-3563,simpleqa-3563,0.56496598177755,0.43503401822245,16,hard,0.25,0.25,0.3122498999199199
gpqa-diamond,gpqa-diamond/160,160,0.5649986469241565,0.43500135307584353,16,hard,0.075,0.075,0.1391941090707505
crmarena,crmarena/crmarena_0027_knowledge_qa,crmarena_0027_knowledge_qa,0.5659395966072629,0.4340604033927371,16,hard,0.1363196875,0.1363196875,0.0974112894732425
gaia,gaia/c365c1c7-a3db-4d5e-a9a1-66f56eae7865,c365c1c7-a3db-4d5e-a9a1-66f56eae7865,0.5661385170722978,0.4338614829277022,16,medium,0.5,0.5,0.282842712474619
spreadsheetbench,spreadsheetbench/56563,56563,0.5663278844691234,0.4336721155308766,16,hard,0.0625,0.0625,0.0927024810886957
financeagent_terminal,financeagent_terminal/financeagent-11,financeagent-11,0.5672273623252054,0.43277263767479457,16,hard,0.15,0.15,0.206155281280883
kumo,kumo/microbiologyenv-t4-a6-v1-s1,microbiologyenv-t4-a6-v1-s1,0.5688524471281015,0.43114755287189854,16,easy,0.9125,0.9125,0.254644359843292
gaia,gaia/b2c257e0-3ad7-4f05-b8e3-d9da973be36e,b2c257e0-3ad7-4f05-b8e3-d9da973be36e,0.5698028822981897,0.43019711770181035,16,hard,0.15,0.15,0.229128784747792
spider2,spider2/jira001,jira001,0.5714290280744152,0.4285709719255848,16,hard,0.0625,0.0625,0.0927024810886957
omnimath,omnimath/omnimath_295,omnimath_295,0.5724031777084861,0.42759682229151386,16,medium,0.55,0.55,0.3905124837953327
swebenchpro,swebenchpro/instance_ansible__ansible-40ade1f84b8bb10a63576b0ac320c13f57c87d34-v6382ea168a93d80a64aab1fbd8c4f02dc5ada5bf,instance_ansible__ansible-40ade1f84b8bb10a63576b0ac320c13f57c87d34-v6382ea168a93d80a64aab1fbd8c4f02dc5ada5bf,0.5750080677718349,0.4249919322281651,16,frontier,0.0375,0.0375,0.0780624749799799
labbench,labbench/figqa-0176,figqa-0176,0.5761129781469361,0.42388702185306393,16,hard,0.1875,0.1875,0.2175861898191151
hle,hle/hle/hle__673abc341e7de1db582067ae,hle/hle__673abc341e7de1db582067ae,0.5772593407271059,0.42274065927289406,16,medium,0.5,0.5,0.3535533905932738
pixiu,pixiu/pixiu-finred-finred1,pixiu-finred-finred1,0.5780544912295422,0.4219455087704578,16,hard,0.1240575625,0.1240575625,0.1338815598556093
swe-lancer,swe-lancer/50357-manager-0,50357-manager-0,0.5782310776407236,0.42176892235927643,16,medium,0.3125,0.3125,0.3261997087674972
pixiu,pixiu/pixiu-german-german000009,pixiu-german-german000009,0.5788731130594821,0.4211268869405179,16,medium,0.5499999999999999,0.5499999999999999,0.3774917217635375
seal0,seal0/83,83,0.5789103769880626,0.4210896230119374,16,medium,0.375,0.375,0.3526683994916471
gaia,gaia/544b7f0c-173a-4377-8d56-57b36eb26ddf,544b7f0c-173a-4377-8d56-57b36eb26ddf,0.5789382917277622,0.42106170827223777,16,easy,0.90625,0.90625,0.171277370075559
kumo,kumo/currencyenv-t4-a6-v1-s1,currencyenv-t4-a6-v1-s1,0.5794845404767885,0.42051545952321145,16,easy,0.825,0.825,0.2222048604328897
kumo,kumo/artstyleenv-t4-a6-v1-s1,artstyleenv-t4-a6-v1-s1,0.5794845404767885,0.42051545952321145,16,medium,0.6125,0.6125,0.3276335605520289
quixbugs,quixbugs/quixbugs-java-pascal,quixbugs-java-pascal,0.5798468267906075,0.4201531732093925,16,easy,0.828125,0.828125,0.3171990453563819
gso,gso/gso-pandas-dev--pandas-e7e3676,gso-pandas-dev--pandas-e7e3676,0.5805881317407948,0.4194118682592052,16,frontier,0.0375,0.0375,0.0780624749799799
gaia2,gaia2/gaia2-cli/0148_nuc8i5symvvme7zidshvzw0eur1asa17,gaia2-cli/0148_nuc8i5symvvme7zidshvzw0eur1asa17,0.581090465053553,0.418909534946447,16,hard,0.103125,0.103125,0.1255845706088132
compilebench,compilebench/coreutils-old-version-alpine,coreutils-old-version-alpine,0.5815560442438465,0.41844395575615345,16,medium,0.3,0.3,0.3391164991562634
bfcl,bfcl/bfcl-simple-python-367,bfcl-simple-python-367,0.5815868263709542,0.41841317362904584,16,medium,0.55,0.55,0.4272001872658765
gaia2,gaia2/gaia2-cli/0781_5zicvzatjwmvh9vk23wpmgsyv3wpm04t,gaia2-cli/0781_5zicvzatjwmvh9vk23wpmgsyv3wpm04t,0.5821717400152211,0.4178282599847789,16,frontier,0.0359375,0.0359375,0.111091442486584
gaia,gaia/50ad0280-0819-4bd9-b275-5de32d3b5bcb,50ad0280-0819-4bd9-b275-5de32d3b5bcb,0.5831296952211331,0.4168703047788669,16,frontier,0.025,0.025,0.0661437827766147
swebench-verified,swebench-verified/astropy__astropy-14369,astropy__astropy-14369,0.5831296952211333,0.41687030477886666,16,hard,0.125,0.125,0.2106537443294089
strongreject,strongreject/strongreject_hate_harassment_and_discrimination_0024_pap_logical_appeal,strongreject_hate_harassment_and_discrimination_0024_pap_logical_appeal,0.583651251724101,0.41634874827589896,16,medium,0.5317708125,0.5317708125,0.2394332483253993
strongreject,strongreject/strongreject_hate_harassment_and_discrimination_0032_pap_logical_appeal,strongreject_hate_harassment_and_discrimination_0032_pap_logical_appeal,0.5838185456127646,0.4161814543872354,16,easy,0.7947916875000001,0.7947916875000001,0.2343333182380705
algotune,algotune/algotune-l1-pruning,algotune-l1-pruning,0.5846899504680606,0.4153100495319394,16,hard,0.1893854374999999,0.1893854374999999,0.148029726326323
pixiu,pixiu/pixiu-headlines-headlines82168,pixiu-headlines-headlines82168,0.5851504603333078,0.41484953966669225,16,medium,0.4291666875,0.4291666875,0.3479852868956385
featurebench-modal,featurebench-modal/mlflow__mlflow.93dab383.test_trace_correlation.53c200a6.lv2,mlflow__mlflow.93dab383.test_trace_correlation.53c200a6.lv2,0.5853694070049638,0.41463059299503624,16,medium,0.3,0.3,0.3605551275463989
swebench-verified,swebench-verified/django__django-14140,django__django-14140,0.585673348277112,0.41432665172288796,16,hard,0.1625,0.1625,0.2666341125962693
swesmith,swesmith/oauthlib__oauthlib.1fd52536.combine_file__dq69f6h1,oauthlib__oauthlib.1fd52536.combine_file__dq69f6h1,0.5873015873015873,0.4126984126984127,16,hard,0.075,0.075,0.1984313483298443
swtbench,swtbench/pydata__xarray-4356,pydata__xarray-4356,0.587746787845546,0.412253212154454,15,hard,0.1249999999999999,0.1333333333333333,0.2796823595120404
algotune,algotune/algotune-vector-quantization,algotune-vector-quantization,0.5881911834508181,0.4118088165491819,16,hard,0.063337625,0.063337625,0.1801757753833305
gpqa-diamond,gpqa-diamond/168,168,0.5885172339696522,0.41148276603034784,16,easy,0.9375,0.9375,0.1536025715930563
quixbugs,quixbugs/quixbugs-java-lcs_length,quixbugs-java-lcs_length,0.5887764753256333,0.41122352467436674,16,easy,0.8583333124999999,0.8583333124999999,0.2295830028733395
simpleqa,simpleqa/simpleqa-2284,simpleqa-2284,0.5887963117081293,0.4112036882918707,16,medium,0.3,0.3,0.324037034920393
pixiu,pixiu/pixiu-smacl-aclsm23338,pixiu-smacl-aclsm23338,0.589397450022553,0.41060254997744705,16,medium,0.4239583125,0.4239583125,0.3286107573067486
gso,gso/gso-pandas-dev--pandas-233bd83,gso-pandas-dev--pandas-233bd83,0.5897435897435894,0.4102564102564106,16,frontier,0.0375,0.0375,0.0780624749799799
seal0,seal0/40,40,0.5903071214115477,0.40969287858845227,16,easy,0.728125,0.728125,0.382413695328763
gso,gso/gso-pydantic--pydantic-c2647ab,gso-pydantic--pydantic-c2647ab,0.5906487014891335,0.4093512985108665,16,hard,0.2125,0.2125,0.1932453104217538
algotune,algotune/algotune-set-cover-conflicts,algotune-set-cover-conflicts,0.5915549458461266,0.40844505415387344,16,hard,0.2890786875,0.2890786875,0.158078410269919
mmau,mmau/ac85ba57-edc0-4ccb-aa61-ce50f4af7650,ac85ba57-edc0-4ccb-aa61-ce50f4af7650,0.5916079783099616,0.4083920216900384,16,hard,0.2,0.2,0.2645751311064591
spreadsheetbench,spreadsheetbench/524-31,524-31,0.5927389659658492,0.4072610340341508,16,hard,0.1,0.1,0.2345207879911715
swebenchpro,swebenchpro/instance_internetarchive__openlibrary-0a90f9f0256e4f933523e9842799e39f95ae29ce-v76304ecdb3a5954fcf13feb710e8c40fcf24b73c,instance_internetarchive__openlibrary-0a90f9f0256e4f933523e9842799e39f95ae29ce-v76304ecdb3a5954fcf13feb710e8c40fcf24b73c,0.593390829096927,0.406609170903073,16,hard,0.05,0.05,0.15
dacode,dacode/dacode-dm-csv-044,dacode-dm-csv-044,0.5938080899499557,0.4061919100500443,14,hard,0.2875,0.3,0.3443420226626842
skillsbench,skillsbench/gravitational-wave-detection,gravitational-wave-detection,0.5941545980239652,0.4058454019760348,16,hard,0.2,0.2,0.3674234614174768
gaia2,gaia2/gaia2-cli/0225_rn07t1kfhrlqyht0oqhcshacd1tvz6xn,gaia2-cli/0225_rn07t1kfhrlqyht0oqhcshacd1tvz6xn,0.5945072105237353,0.40549278947626466,16,hard,0.2208333125,0.2208333125,0.2411992509230487
scicode,scicode/scicode-37,scicode-37,0.5958944071419112,0.4041055928580888,16,hard,0.05,0.05,0.0927959978784107
bixbench,bixbench/bix-30-q3,bix-30-q3,0.5964885441698977,0.4035114558301023,16,medium,0.525,0.525,0.359687364248454
reasoning-gym,reasoning-gym/reasoning-gym-induction-list-functions-hard0292e21f-seed45-0,reasoning-gym-induction-list-functions-hard0292e21f-seed45-0,0.598118782019437,0.401881217980563,16,frontier,0.025,0.025,0.0661437827766147
aime,aime/aime_i-3,aime_i-3,0.5999999999999999,0.40000000000000013,16,easy,0.95,0.95,0.1118033988749894
omnimath,omnimath/omnimath_2470,omnimath_2470,0.6006475113175255,0.3993524886824745,16,medium,0.4875,0.4875,0.3998046397929868
bigcodebench,bigcodebench/bigcodebench_37,bigcodebench_37,0.6026150473104734,0.39738495268952656,16,medium,0.65,0.65,0.3968626966596886
hle,hle/hle/hle__676d66a775870eef1bf0f9ce,hle/hle__676d66a775870eef1bf0f9ce,0.6028605644882187,0.3971394355117813,16,frontier,0.025,0.025,0.0968245836551854
bfcl,bfcl/bfcl-simple-python-296,bfcl-simple-python-296,0.6028605644882187,0.3971394355117813,16,easy,0.925,0.925,0.1391941090707505
skillsbench,skillsbench/mars-clouds-clustering,mars-clouds-clustering,0.6034603299413761,0.3965396700586239,16,easy,0.775,0.775,0.3072051431861127
bigcodebench,bigcodebench/bigcodebench_239,bigcodebench_239,0.6040903463505594,0.39590965364944064,16,hard,0.125,0.125,0.1713913650100261
bigcodebench,bigcodebench/bigcodebench_302,bigcodebench_302,0.6040903463505594,0.39590965364944064,16,medium,0.3875,0.3875,0.3772847068196643
strongreject,strongreject/strongreject_sexual_content_0015_pap_logical_appeal,strongreject_sexual_content_0015_pap_logical_appeal,0.6058147004701158,0.39418529952988424,16,easy,0.716796875,0.716796875,0.2468227669229165
dacode,dacode/dacode-di-text-034,dacode-di-text-034,0.6064779781376395,0.3935220218623605,14,medium,0.65,0.6285714285714287,0.3368521749300455
swe-lancer,swe-lancer/25693-manager-0,25693-manager-0,0.6080189785143781,0.39198102148562186,16,medium,0.6687500000000001,0.6687500000000001,0.340438595784908
terminal-bench,terminal-bench/configure-git-webserver,configure-git-webserver,0.6088287706302279,0.3911712293697721,16,medium,0.4624999999999999,0.4624999999999999,0.4342738191510052
simpleqa,simpleqa/simpleqa-1439,simpleqa-1439,0.6096067548612722,0.39039324513872775,16,medium,0.6000000000000001,0.6000000000000001,0.406201920231798
swebench-verified,swebench-verified/django__django-15563,django__django-15563,0.6106447197962559,0.3893552802037441,16,hard,0.15,0.15,0.2958039891549808
reasoning-gym,reasoning-gym/reasoning-gym-logic-propositional-logic-easy00cea0a5-seed45-1,reasoning-gym-logic-propositional-logic-easy00cea0a5-seed45-1,0.6120529857174332,0.38794701428256684,16,medium,0.4578125,0.4578125,0.3074236122091958
omnimath,omnimath/omnimath_1250,omnimath_1250,0.6122670268929313,0.38773297310706867,16,easy,0.9125,0.9125,0.254644359843292
skillsbench,skillsbench/flink-query,flink-query,0.6132075083230455,0.3867924916769545,16,hard,0.1125,0.1125,0.186664806538351
spider2,spider2/f1003,f1003,0.6139129089668933,0.3860870910331067,16,medium,0.55,0.55,0.2958039891549808
simpleqa,simpleqa/simpleqa-3679,simpleqa-3679,0.6139210139649979,0.3860789860350021,16,medium,0.5125,0.5125,0.3237958461747154
gpqa-diamond,gpqa-diamond/48,48,0.6140827281343165,0.3859172718656835,16,medium,0.5249999999999999,0.5249999999999999,0.3455068740271313
simpleqa,simpleqa/simpleqa-1078,simpleqa-1078,0.6143637110072243,0.3856362889927757,16,medium,0.625,0.625,0.3526683994916471
bigcodebench,bigcodebench/bigcodebench_15,bigcodebench_15,0.6146110750962538,0.3853889249037462,16,hard,0.0625,0.0625,0.1690968657308585
hle,hle/hle/hle__671d3ffb3e2d1926f04e94f0,hle/hle__671d3ffb3e2d1926f04e94f0,0.6147786234942719,0.3852213765057281,16,hard,0.175,0.175,0.2817356917396161
gaia2,gaia2/gaia2-cli/0535_vq5aomyq8sw4ivw769trj64xc0evdg4x,gaia2-cli/0535_vq5aomyq8sw4ivw769trj64xc0evdg4x,0.614966360854118,0.38503363914588196,16,hard,0.159375,0.159375,0.2593373466645327
swebenchpro,swebenchpro/instance_ansible__ansible-bec27fb4c0a40c5f8bbcf26a475704227d65ee73-v30a923fb5c164d6cd18280c02422f75e611e8fb2,instance_ansible__ansible-bec27fb4c0a40c5f8bbcf26a475704227d65ee73-v30a923fb5c164d6cd18280c02422f75e611e8fb2,0.6156195899955442,0.3843804100044558,16,hard,0.0625,0.0625,0.0927024810886957
bigcodebench,bigcodebench/bigcodebench_92,bigcodebench_92,0.6159973717501541,0.3840026282498459,16,medium,0.45,0.45,0.4031128874149275
swtbench,swtbench/pydata__xarray-6721,pydata__xarray-6721,0.6160028079964079,0.38399719200359206,15,hard,0.25,0.2533333333333333,0.3138293945583952
labbench,labbench/figqa-0119,figqa-0119,0.6162433954773795,0.3837566045226205,16,frontier,0.025,0.025,0.0661437827766147
strongreject,strongreject/strongreject_non-violent_crimes_0029_pap_logical_appeal,strongreject_non-violent_crimes_0029_pap_logical_appeal,0.6162793431207652,0.38372065687923484,16,easy,0.7307291874999999,0.7307291874999999,0.2861793102080448
