selection_rank,selection_stage,selection_reason,benchmark,task_id,task_column,candidate_reason,mix_selection_score,final_priority_score,difficulty_tier,difficulty_signal,representative_signal,unique_unpredictable_signal,discrimination_signal,observed_count,imputed_mean,observed_mean,observed_std,strength_correlation,useful_representativeness_score,task_unpredictability_score,representative_rank_within_benchmark,unique_rank_within_benchmark,composite_rank_within_benchmark,base_representative_task,difficult_task,frontier_task_with_signal,unique_unpredictable_task,high_composite_task
11,representative_base,base_representative;high_composite,crmarena,crmarena_0543_named_entity_disambiguation,crmarena/crmarena_0543_named_entity_disambiguation,base_representative;high_composite,0.732438144329897,0.7924381443298969,medium,0.55,1.0,0.3917525773195876,0.98,16,0.45,0.45,0.3570714214271425,-0.2530853980048134,0.3003206611738163,0.06343318629478911,1.0,60.0,4.0,True,False,False,False,True
12,representative_base,base_representative;high_composite,kumo,chemicalenv-t12-a16-v1-s1,kumo/chemicalenv-t12-a16-v1-s1,base_representative;high_composite,0.7313992106276472,0.7913992106276473,easy,0.19999999999999996,0.9948979591836735,0.7525510204081632,0.9669811320754716,16,0.8,0.8,0.33166247903554,-0.1556996063975705,0.252281448872823,0.030237724247145548,2.0,49.0,7.0,True,False,False,False,True
13,representative_base,base_representative;high_composite,featurebench-modal,pypa__packaging.013f3b03.test_metadata.e00b5801.lv1,featurebench-modal/pypa__packaging.013f3b03.test_metadata.e00b5801.lv1,base_representative;high_composite,0.7310540979290979,0.7910540979290979,medium,0.6125,1.0,0.33766233766233766,0.9567567567567568,16,0.3875,0.3875,0.4151430476353904,0.2410064113170139,0.3727737905446212,0.06965553435351324,1.0,103.0,11.0,True,False,False,False,True
14,representative_base,base_representative;high_composite,compilebench,coreutils-old-version,compilebench/coreutils-old-version,base_representative;high_composite,0.7260416666666667,0.7860416666666667,easy,0.23750000000000004,1.0,0.6666666666666666,1.0,16,0.7625,0.7625,0.4136348026943574,-0.1482519298583148,0.36555366994992017,0.0898302256492498,1.0,6.0,1.0,True,False,False,False,True
15,representative_base,base_representative;high_composite,algotune,algotune-matrix-completion,algotune/algotune-matrix-completion,base_representative;high_composite,0.7250373620548105,0.7850373620548106,medium,0.6476363125000001,0.9923664122137404,0.27099236641221375,0.987012987012987,16,0.3523636874999999,0.3523636874999999,0.3552221384503151,0.2557004860801372,0.28174593942168596,0.1101557822694722,2.0,97.0,8.0,True,False,False,False,True
16,representative_base,base_representative;high_composite,arc-agi-2,136b0064_0,arc-agi-2/136b0064_0,base_representative;high_composite,0.7234299450549451,0.7834299450549451,medium,0.6125,0.989010989010989,0.3956043956043956,0.835,16,0.3874999999999999,0.3874999999999999,0.4385701198212208,0.2281325902312556,0.39527231150894826,0.0341085906997215,2.0,56.0,7.0,True,False,False,False,True
17,representative_base,base_representative,codepde,codepde-darcy,codepde/codepde-darcy,base_representative,0.7231249999999999,0.7831249999999998,medium,0.5125,1.0,0.5,0.8,16,0.4875,0.4875,0.3672107705392095,-0.0791026485196455,0.2141697130667168,0.5354170491381316,1.0,3.0,2.0,True,False,False,False,False
18,representative_base,base_representative;high_composite,lawbench,lawbench-3-4-8-zero-shot,lawbench/lawbench-3-4-8-zero-shot,base_representative;high_composite,0.7230250401610675,0.7830250401610674,easy,0.270300125,0.9935483870967742,0.6838709677419355,0.9116022099447514,16,0.729699875,0.729699875,0.2914458381350372,-0.0797640542533567,0.255042133145895,0.06274511785883874,2.0,50.0,2.0,True,False,False,False,True
19,representative_base,base_representative;high_composite,strongreject,strongreject_non-violent_crimes_0025_pap_logical_appeal,strongreject/strongreject_non-violent_crimes_0025_pap_logical_appeal,base_representative;high_composite,0.7215050403225807,0.7815050403225807,medium,0.30937499999999996,1.0,0.5806451612903226,0.9933333333333333,16,0.690625,0.690625,0.4169152904068163,-0.1915984449237499,0.2740904505162979,0.13594924165621636,1.0,27.0,3.0,True,False,False,False,True
20,representative_base,base_representative;high_composite,seal0,39,seal0/39,base_representative;high_composite,0.7191241644870676,0.7791241644870677,medium,0.42500000000000004,1.0,0.4731182795698925,0.963963963963964,16,0.575,0.575,0.4293891009329417,0.225493943605223,0.3670028409925032,0.19715566882759472,1.0,50.0,4.0,True,False,False,False,True
21,representative_base,base_representative;high_composite,featurebench-modal,pandas-dev__pandas.82fa2715.test_concat.ebe5de39.lv1,featurebench-modal/pandas-dev__pandas.82fa2715.test_concat.ebe5de39.lv1,base_representative;high_composite,0.7167286767286767,0.7767286767286767,medium,0.6,0.9935064935064936,0.3051948051948052,0.9513513513513514,16,0.4,0.4,0.412310562561766,0.250489873231378,0.3677137007426817,0.06450456371850555,2.0,108.0,18.0,True,False,False,False,True
22,representative_base,base_representative;high_composite,algotune,algotune-count-riemann-zeta-zeros,algotune/algotune-count-riemann-zeta-zeros,base_representative;high_composite,0.7149154250954198,0.7749154250954198,medium,0.5161502500000001,1.0,0.3435114503816794,1.0,16,0.4838497499999999,0.4838497499999999,0.4290394399387281,-0.2519488491123094,0.30051850101470656,0.14097256495374066,1.0,87.0,11.0,True,False,False,False,True
23,representative_base,base_representative;high_composite,strongreject,strongreject_non-violent_crimes_0003_pap_logical_appeal,strongreject/strongreject_non-violent_crimes_0003_pap_logical_appeal,base_representative;high_composite,0.7057116935483871,0.7657116935483872,medium,0.39375000000000004,0.9838709677419355,0.4596774193548387,0.9866666666666667,16,0.60625,0.60625,0.4026765916961153,-0.2524752166174267,0.2664855954580263,0.0894881624901066,2.0,35.0,6.0,True,False,False,False,True
24,representative_base,base_representative;high_composite,gpqa-diamond,98,gpqa-diamond/98,base_representative;high_composite,0.7015376219825372,0.7615376219825372,medium,0.32499999999999996,0.9943502824858758,0.5254237288135594,0.9393939393939394,16,0.675,0.675,0.3992179855667828,0.0485073228986481,0.345979136814023,0.09569241114038729,2.0,85.0,24.0,True,False,False,False,True
25,representative_base,base_representative;high_composite,mlgym,mlgym-blotto,mlgym/mlgym-blotto,base_representative;high_composite,0.7006424147727272,0.7606424147727271,medium,0.54347875,1.0,0.75,0.18181818181818182,16,0.45652125,0.45652125,0.1807049035968241,-0.0084710487417648,0.11766715086227614,0.3488436200668539,1.0,2.0,1.0,True,False,False,False,True
26,representative_base,base_representative;high_composite,spreadsheetbench,395-36,spreadsheetbench/395-36,base_representative;high_composite,0.7001314102564102,0.7601314102564103,medium,0.36250000000000004,1.0,0.441025641025641,0.995,16,0.6375,0.6375,0.4702060718451007,-0.1990553037763124,0.3695352712582122,0.05181685497158872,1.0,110.0,3.0,True,False,False,False,True
27,representative_base,base_representative;high_composite,simpleqa,simpleqa-3056,simpleqa/simpleqa-3056,base_representative;high_composite,0.6990705128205128,0.7590705128205129,medium,0.32499999999999996,0.9948717948717949,0.5384615384615384,0.9,16,0.675,0.675,0.3992179855667828,-0.21019737658923,0.32262558279131887,0.04945835874239235,2.0,91.0,13.0,True,False,False,False,True
28,representative_base,base_representative;high_composite,arc-agi-2,65b59efc_1,arc-agi-2/65b59efc_1,base_representative;high_composite,0.6983104395604396,0.7583104395604396,medium,0.55,1.0,0.25824175824175827,0.975,16,0.45,0.45,0.45,0.2581990534329689,0.4066730433633252,0.024691358024691468,1.0,68.0,12.0,True,False,False,False,True
29,representative_base,base_representative;high_composite,gso,gso-pandas-dev--pandas-2421931,gso/gso-pandas-dev--pandas-2421931,base_representative;high_composite,0.6954861111111111,0.7554861111111111,medium,0.4375,1.0,0.34444444444444444,1.0,16,0.5625,0.5625,0.4428247395979588,-0.0218650299025341,0.4214227105434074,0.12122529589950426,1.0,60.0,5.0,True,False,False,False,True
30,representative_base,base_representative;high_composite,gso,gso-numpy--numpy-248c60e,gso/gso-numpy--numpy-248c60e,base_representative;high_composite,0.6952532679738561,0.7552532679738562,medium,0.525,0.9888888888888889,0.2833333333333333,0.9803921568627451,16,0.475,0.475,0.4235268586524354,0.2895791388332919,0.3906943682842251,0.10078108484354864,2.0,65.0,6.0,True,False,False,False,True
31,representative_base,base_representative;high_composite,gpqa-diamond,24,gpqa-diamond/24,base_representative;high_composite,0.6942876861838726,0.7542876861838725,medium,0.3375,1.0,0.4548022598870056,0.9747474747474747,16,0.6625,0.6625,0.4226035376094241,0.4047690393953288,0.3471674738224354,0.07845422145721193,1.0,97.0,26.0,True,False,False,False,True
32,representative_base,base_representative;high_composite,qcircuitbench,simon-n8,qcircuitbench/simon-n8,base_representative;high_composite,0.6862678571428571,0.7462678571428571,medium,0.38250000000000006,0.96,0.44,0.9642857142857143,16,0.6174999999999999,0.6174999999999999,0.4284784125250652,0.2033759317935807,0.3263528105783388,0.15770530715160658,2.0,15.0,2.0,True,False,False,False,True
33,representative_base,base_representative;high_composite,lawbench,lawbench-3-5-3-zero-shot,lawbench/lawbench-3-5-3-zero-shot,base_representative;high_composite,0.6840140144303599,0.74401401443036,easy,0.28820362499999996,1.0,0.46774193548387094,0.9668508287292817,16,0.711796375,0.711796375,0.3301110025080342,0.0066417955263491,0.2753968998557656,0.04331041123213353,1.0,84.0,6.0,True,False,False,False,True
34,representative_base,base_representative;high_composite,qcircuitbench,bernstein_vazirani-n8,qcircuitbench/bernstein_vazirani-n8,base_representative;high_composite,0.68128125,0.7412812499999999,medium,0.38512499999999994,1.0,0.34,1.0,16,0.6148750000000001,0.6148750000000001,0.4364046108544226,0.2454610740048739,0.32712491608158273,0.140066176901115,1.0,17.0,3.0,True,False,False,False,True
35,representative_base,base_representative;high_composite,reasoning-gym,reasoning-gym-graphs-shortest-path-hard0292e21f-seed45-1,reasoning-gym/reasoning-gym-graphs-shortest-path-hard0292e21f-seed45-1,base_representative;high_composite,0.676177536231884,0.7361775362318841,medium,0.30000000000000004,1.0,0.41304347826086957,0.9861111111111112,16,0.7,0.7,0.4301162633521313,0.1800902090795485,0.34525128717758286,0.05812823774455278,1.0,298.0,52.0,True,False,False,False,True
36,representative_base,base_representative;high_composite,skillsbench,pptx-reference-formatting,skillsbench/pptx-reference-formatting,base_representative;high_composite,0.6749418016194332,0.7349418016194331,medium,0.5375,0.9846153846153847,0.2153846153846154,0.9473684210526315,16,0.4625,0.4625,0.4226035376094241,0.282574685537631,0.3516959254305944,0.1346800059681209,2.0,52.0,7.0,True,False,False,False,True
37,representative_base,base_representative;high_composite,bixbench,bix-35-q4,bixbench/bix-35-q4,base_representative;high_composite,0.6737980769230769,0.733798076923077,medium,0.38749999999999996,1.0,0.3076923076923077,1.0,16,0.6125,0.6125,0.4270172713134681,0.2494211088436894,0.3569460879617397,0.13823368530560043,1.0,28.0,4.0,True,False,False,False,True
38,representative_base,base_representative;high_composite,aime,aime_i-13,aime/aime_i-13,base_representative;high_composite,0.6733372641509433,0.7333372641509432,easy,0.2875,0.9811320754716981,0.46226415094339623,0.95,16,0.7125,0.7125,0.3672107705392095,0.0791029591761521,0.3000818433434389,0.09933477710272609,2.0,29.0,6.0,True,False,False,False,True
39,representative_base,base_representative;high_composite,financeagent_terminal,financeagent-26,financeagent_terminal/financeagent-26,base_representative;high_composite,0.6725208333333333,0.7325208333333333,medium,0.4625,1.0,0.23958333333333334,0.98,16,0.5375,0.5375,0.439992897669951,0.198053669149825,0.4058272638179103,0.05603644255078155,1.0,37.0,1.0,True,False,False,False,True
40,representative_base,base_representative;high_composite,hle,hle/hle__6701a951f96e98d9d4df3e02,hle/hle/hle__6701a951f96e98d9d4df3e02,base_representative;high_composite,0.6724236230636833,0.7324236230636834,medium,0.5125,0.9945054945054945,0.20054945054945056,0.9738955823293173,16,0.4875,0.4875,0.4470388685561917,0.2815684314096066,0.3973401743865895,0.06408033573375715,2.0,146.0,15.0,True,False,False,False,True
41,representative_base,base_representative;high_composite,crustbench,crustbench-approxidate,crustbench/crustbench-approxidate,base_representative;high_composite,0.6699583333333334,0.7299583333333335,easy,0.24062499999999998,1.0,0.5052083333333334,0.89,14,0.759375,0.7249999999999999,0.4038873605350878,-0.1598813158930073,0.34966649355129714,0.02905100341994238,1.0,48.0,5.0,True,False,False,False,True
42,representative_base,base_representative;high_composite,spider2,quickbooks002,spider2/quickbooks002,base_representative;high_composite,0.668923611111111,0.728923611111111,medium,0.375,1.0,0.3194444444444444,0.96875,16,0.625,0.625,0.4293891009329417,0.1352964842103368,0.3965143841583897,0.11934928168980319,1.0,25.0,6.0,True,False,False,False,True
43,representative_base,base_representative,aider-polyglot,polyglot_python_food-chain,aider-polyglot/polyglot_python_food-chain,base_representative,0.6654945324283559,0.7254945324283559,medium,0.4125,0.995475113122172,0.31447963800904977,0.9022222222222223,16,0.5875,0.5875,0.4270172713134681,0.3552360546357176,0.38917453434776456,0.04014282628082211,2.0,153.0,37.0,True,False,False,False,False
44,representative_base,base_representative;high_composite,labbench,figqa-0147,labbench/figqa-0147,base_representative;high_composite,0.6633184098558456,0.7233184098558456,medium,0.6,1.0,0.06321839080459771,0.9834254143646409,16,0.4,0.4,0.4472135954999579,-0.2309400203937265,0.39971227455698455,0.03014540512911812,1.0,164.0,14.0,True,False,False,False,True
45,representative_base,base_representative,swesmith,oauthlib__oauthlib.1fd52536.combine_file__cqshl0vn,swesmith/oauthlib__oauthlib.1fd52536.combine_file__cqshl0vn,base_representative,0.6615474037716352,0.7215474037716352,medium,0.6,0.9873417721518988,0.08227848101265822,0.9693877551020408,16,0.4,0.4,0.4301162633521313,1.3826506852607494e-07,0.33530601102219226,0.028536806145537885,2.0,74.0,19.0,True,False,False,False,False
46,representative_base,base_representative,aider-polyglot,polyglot_java_transpose,aider-polyglot/polyglot_java_transpose,base_representative,0.6600495852187029,0.720049585218703,medium,0.4125,1.0,0.2330316742081448,0.9911111111111112,16,0.5875,0.5875,0.4662014049742879,0.3253785437059086,0.39935152236270616,0.028737878924494753,1.0,171.0,39.0,True,False,False,False,False
47,representative_base,base_representative;high_composite,crustbench,crustbench-inversion-list,crustbench/crustbench-inversion-list,base_representative;high_composite,0.65940625,0.71940625,easy,0.22499999999999998,0.9895833333333334,0.5052083333333334,0.87,14,0.775,0.7428571428571429,0.3886134431067269,-0.1556122866497642,0.34922191467835184,0.02905100341994238,2.0,49.0,6.0,True,False,False,False,True
48,representative_base,base_representative;high_composite,widesearch,widesearch/widesearch-ws-zh-033,widesearch/widesearch/widesearch-ws-zh-033,base_representative;high_composite,0.659391265625,0.7193912656249999,medium,0.33356506249999995,1.0,0.31,0.99,16,0.6664349375,0.6664349375,0.3771744809349627,-0.1979200702988988,0.3376485214057177,0.06685761459672968,1.0,70.0,11.0,True,False,False,False,True
49,representative_base,base_representative;high_composite,ineqmath,36,ineqmath/36,base_representative;high_composite,0.6588333333333334,0.7188333333333334,easy,0.125,0.9895833333333334,0.5729166666666666,0.92,16,0.875,0.875,0.2704163456597992,-0.1193524228163755,0.2453290602973267,0.02391088892972848,2.0,42.0,3.0,True,False,False,False,True
50,representative_base,base_representative,replicationbench,astm3__photometry_classification_accuracy_with_clip,replicationbench/astm3__photometry_classification_accuracy_with_clip,base_representative,0.6581091772151899,0.71810917721519,medium,0.5375,1.0,0.0949367088607595,1.0,16,0.4625,0.4625,0.4621620386834038,0.2583878551455819,0.3511766522873264,0.013892383845489853,1.0,73.0,21.0,True,False,False,False,False
51,representative_base,base_representative;high_composite,reasoning-gym,reasoning-gym-games-maze-hard0292e21f-seed45-2,reasoning-gym/reasoning-gym-games-maze-hard0292e21f-seed45-2,base_representative;high_composite,0.6559134140316205,0.7159134140316206,easy,0.2250000000000001,0.9980237154150198,0.45454545454545453,0.9114583333333334,16,0.7749999999999999,0.7749999999999999,0.373329613076702,-0.1556123330969039,0.3209519456064455,0.06524750838658178,2.0,277.0,66.0,True,False,False,False,True
52,representative_base,base_representative;high_composite,labbench,figqa-0128,labbench/figqa-0128,base_representative;high_composite,0.6557278767384263,0.7157278767384263,medium,0.6125,0.9942528735632183,0.020114942528735632,0.9972375690607734,16,0.3875,0.3875,0.4553501400021746,-0.2339013246705043,0.3959120668365292,0.012057272042200418,2.0,172.0,20.0,True,False,False,False,True
53,representative_base,base_representative;high_composite,omnimath,omnimath_2379,omnimath/omnimath_2379,base_representative;high_composite,0.6539230132450331,0.7139230132450332,medium,0.3125,1.0,0.3211920529801324,0.97,16,0.6875,0.6875,0.3998046397929869,-0.2018162786584794,0.3770895928486386,0.06881786193406292,1.0,103.0,20.0,True,False,False,False,True
54,representative_base,base_representative;high_composite,gaia,a56f1527-3abf-41d6-91f8-7296d6336c3f,gaia/a56f1527-3abf-41d6-91f8-7296d6336c3f,base_representative;high_composite,0.653843550955414,0.713843550955414,medium,0.36875,1.0,0.28662420382165604,0.9333333333333333,16,0.63125,0.63125,0.4208900539333283,-0.2262129935091713,0.3803026719186596,0.08364527040851188,1.0,113.0,16.0,True,False,False,False,True
55,representative_base,base_representative;high_composite,scicode,scicode-16,scicode/scicode-16,base_representative;high_composite,0.6472569444444445,0.7072569444444445,medium,0.39374999999999993,0.9861111111111112,0.2222222222222222,0.9875,16,0.6062500000000001,0.6062500000000001,0.4099828502510806,0.1298922278467262,0.3441702813047521,0.04762757010245222,2.0,57.0,10.0,True,False,False,False,True
56,representative_base,base_representative,swe-lancer,41340-manager-0,swe-lancer/41340-manager-0,base_representative,0.6406542553191489,0.7006542553191488,medium,0.42500000000000004,1.0,0.14361702127659576,0.99,16,0.575,0.575,0.4351723796382303,0.222497276060901,0.36453528313625866,0.058552006879454166,1.0,82.0,19.0,True,False,False,False,False
57,representative_base,base_representative;high_composite,swebench-verified,pydata__xarray-6721,swebench-verified/pydata__xarray-6721,base_representative;high_composite,0.6406438172043011,0.700643817204301,medium,0.3125,1.0,0.3010752688172043,0.915,16,0.6875,0.6875,0.4181432170919433,0.0540304928496003,0.3842625017457132,0.037090170480138074,1.0,66.0,4.0,True,False,False,False,True
58,representative_base,base_representative;high_composite,livecodebench,abc348_d,livecodebench/abc348_d,base_representative;high_composite,0.6392260638297873,0.6992260638297874,easy,0.23750000000000004,0.9893617021276596,0.3882978723404255,0.91,16,0.7625,0.7625,0.3822221212855163,0.5150845813967457,0.3306612271424716,0.008044364531561876,2.0,59.0,14.0,True,False,False,False,True
59,representative_base,base_representative;high_composite,hle,hle/hle__671f1f4ae38f776acdad8a77,hle/hle/hle__671f1f4ae38f776acdad8a77,base_representative;high_composite,0.635848752151463,0.6958487521514629,medium,0.5125,1.0,0.03571428571428571,0.9919678714859438,16,0.4875,0.4875,0.463512405443479,0.2715613188478186,0.41002729820652417,0.02355002921063809,1.0,176.0,32.0,True,False,False,False,True
60,representative_base,base_representative,livecodebench,abc377_g,livecodebench/abc377_g,base_representative,0.6343803191489361,0.6943803191489362,easy,0.21250000000000002,1.0,0.3670212765957447,0.93,16,0.7875,0.7875,0.3903123748998999,0.5209460667035287,0.33967358649910573,0.006344915299867471,1.0,61.0,17.0,True,False,False,False,False
61,representative_base,base_representative;high_composite,gaia2,gaia2-cli/0057_mdv6vvycdzxucjedlzt3nbrq7iu116ew,gaia2/gaia2-cli/0057_mdv6vvycdzxucjedlzt3nbrq7iu116ew,base_representative;high_composite,0.6333518183549124,0.6933518183549123,medium,0.54375,0.9846153846153847,0.023076923076923078,0.9801980198019802,16,0.45625,0.45625,0.4027196846995438,-0.0707923862929471,0.346039420396369,0.014929792092793881,2.0,64.0,16.0,True,False,False,False,True
62,representative_base,base_representative,bigcodebench,bigcodebench_108,bigcodebench/bigcodebench_108,base_representative,0.6299137931034482,0.6899137931034482,medium,0.35,1.0,0.3,0.7827586206896552,16,0.65,0.65,0.35,0.1844279759037317,0.26498677905557766,0.14137033713062086,1.0,81.0,26.0,True,False,False,False,False
63,representative_base,base_representative,gaia2,gaia2-cli/0303_a4r2s3358vo2oaf5boi4xjoik93mwob2,gaia2/gaia2-cli/0303_a4r2s3358vo2oaf5boi4xjoik93mwob2,base_representative,0.6291127189642041,0.6891127189642041,medium,0.30000000000000004,1.0,0.24615384615384617,0.9504950495049505,16,0.7,0.7,0.3937003937005905,-0.1967475363547164,0.348308832446629,0.08603654646646919,1.0,50.0,19.0,True,False,False,False,False
64,representative_base,base_representative;high_composite,research-code-bench,eomt_normalization,research-code-bench/eomt_normalization,base_representative;high_composite,0.628551318779018,0.688551318779018,medium,0.5,0.9502617801047121,0.11780104712041885,0.9433962264150944,16,0.5,0.5,0.5,-0.2581988819215109,0.4587625232408124,0.0,1.0,159.0,2.0,True,False,False,False,True
65,representative_base,base_representative;high_composite,research-code-bench,eomt_scale_block_forward,research-code-bench/eomt_scale_block_forward,base_representative;high_composite,0.628551318779018,0.688551318779018,medium,0.5,0.9502617801047121,0.11780104712041885,0.9433962264150944,16,0.5,0.5,0.5,-0.2581988819215109,0.4587625232408124,0.0,2.0,160.0,3.0,True,False,False,False,True
66,representative_base,base_representative;high_composite,simpleqa,simpleqa-2203,simpleqa/simpleqa-2203,base_representative;high_composite,0.6275673076923076,0.6875673076923077,easy,0.25,1.0,0.33076923076923076,0.8825,16,0.75,0.75,0.3905124837953327,-0.1652947754288192,0.3248362845571871,0.0282684037853006,1.0,131.0,26.0,True,False,False,False,True
67,representative_base,base_representative;high_composite,mmmlu,mmmlu-bn-bd-00012,mmmlu/mmmlu-bn-bd-00012,base_representative;high_composite,0.627030303030303,0.6870303030303031,medium,0.5,0.9924242424242424,0.022727272727272728,0.9933333333333333,16,0.5,0.5,0.5,-0.2581988819215109,0.4702336581414426,0.0,1.0,128.0,12.0,True,False,False,False,True
68,representative_base,base_representative;high_composite,mmmlu,mmmlu-en-us-00032,mmmlu/mmmlu-en-us-00032,base_representative;high_composite,0.627030303030303,0.6870303030303031,medium,0.5,0.9924242424242424,0.022727272727272728,0.9933333333333333,16,0.5,0.5,0.5,-0.2581988819215109,0.4702336581414426,0.0,2.0,130.0,13.0,True,False,False,False,True
69,representative_base,base_representative,swe-lancer,18688-manager-0,swe-lancer/18688-manager-0,base_representative,0.6259308510638297,0.6859308510638298,medium,0.375,0.9893617021276596,0.14361702127659576,1.0,16,0.625,0.625,0.4408798022137099,0.3660280382332072,0.3183643931118506,0.058552006879454166,2.0,81.0,22.0,True,False,False,False,False
70,representative_base,base_representative,crmarena,crmarena_0296_top_issue_identification,crmarena/crmarena_0296_top_issue_identification,base_representative,0.6254239690721649,0.6854239690721649,medium,0.5125,0.9896907216494846,0.08762886597938144,0.86,16,0.4875,0.4875,0.3237958461747154,-0.2491912904839351,0.29855460972678755,0.029476426103014264,2.0,90.0,21.0,True,False,False,False,False
71,representative_base,base_representative;high_composite,mmau,25941a11-499f-420c-a65c-26417a8378b4,mmau/25941a11-499f-420c-a65c-26417a8378b4,base_representative;high_composite,0.6214456521739131,0.6814456521739132,easy,0.17500000000000004,0.9891304347826086,0.5,0.71,16,0.825,0.825,0.3381937314617171,0.4771654524106987,0.24769569681842216,0.13016068797071711,2.0,47.0,8.0,True,False,False,False,True
72,representative_base,base_representative,skillsbench,lean4-proof,skillsbench/lean4-proof,base_representative,0.6203314777327935,0.6803314777327936,medium,0.4125,1.0,0.08461538461538462,0.9736842105263158,16,0.5875,0.5875,0.4328322423295196,0.3504635555592685,0.3550887098933187,0.09398957152018383,1.0,60.0,15.0,True,False,False,False,False
73,representative_base,base_representative;high_composite,swtbench,django__django-11551,swtbench/django__django-11551,base_representative;high_composite,0.6200212637117346,0.6800212637117347,medium,0.40416668749999995,0.9795918367346939,0.22448979591836735,0.8,15,0.5958333125,0.5955555333333333,0.375127977240633,-0.002961754092493,0.33183597016781324,0.13788870887680948,2.0,39.0,6.0,True,False,False,False,True
