task_column,benchmark,task_id,observed_count,missing_count,missing_fraction,observed_mean,observed_std,observed_min,observed_max,imputed_mean,imputed_normalized_mean,imputed_normalized_std,strength_correlation,difficulty_tier,negative_count,gt_one_count
aa-lcr/aa-lcr/aa-lcr-89,aa-lcr,aa-lcr/aa-lcr-89,10,6,0.375,0.7933333,0.3431229575531343,0.0,1.0,0.8708333125,-0.43055562499999994,0.9637529212859016,-0.11535001299010217,easy,0,0
aa-lcr/aa-lcr/aa-lcr-9,aa-lcr,aa-lcr/aa-lcr-9,10,6,0.375,0.43999999999999995,0.417612260356422,0.0,1.0,0.425,0.027777777777777755,0.367465459870082,0.019518176609519464,medium,0,0
aa-lcr/aa-lcr/aa-lcr-90,aa-lcr,aa-lcr/aa-lcr-90,10,6,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,frontier,0,0
aa-lcr/aa-lcr/aa-lcr-91,aa-lcr,aa-lcr/aa-lcr-91,9,7,0.4375,0.8222222222222223,0.31894889098682944,0.0,1.0,0.9,-0.5000000000000001,1.2747548783981963,-0.10127398937119444,easy,0,0
aa-lcr/aa-lcr/aa-lcr-92,aa-lcr,aa-lcr/aa-lcr-92,10,6,0.375,0.52,0.42142615011410955,0.0,1.0,0.55,-0.05555555555555565,0.37267799624996495,-0.03848984538909221,medium,0,0
aa-lcr/aa-lcr/aa-lcr-93,aa-lcr,aa-lcr/aa-lcr-93,10,6,0.375,0.8266667,0.25508166535447035,0.2,1.0,0.8916666875,-0.3611113425927855,0.7280751141981048,-0.12806163804990248,easy,0,0
aa-lcr/aa-lcr/aa-lcr-94,aa-lcr,aa-lcr/aa-lcr-94,10,6,0.375,0.6,0.41952353926806063,0.0,1.0,0.6375,-0.08333333333333329,0.4469029225930641,-0.04814581951791802,medium,0,0
aa-lcr/aa-lcr/aa-lcr-95,aa-lcr,aa-lcr/aa-lcr-95,9,7,0.4375,0.3111111111111111,0.36649827783268096,0.0,1.0,0.26249999999999996,0.10416666666666671,0.467242947750121,0.057562632700735805,hard,0,0
aa-lcr/aa-lcr/aa-lcr-96,aa-lcr,aa-lcr/aa-lcr-96,10,6,0.375,0.8,0.30983866769659335,0.0,1.0,0.875,-0.35714285714285715,0.7525466966323385,-0.122535615325643,easy,0,0
aa-lcr/aa-lcr/aa-lcr-97,aa-lcr,aa-lcr/aa-lcr-97,10,6,0.375,0.8866666999999999,0.1956186391937384,0.4,1.0,0.9291666875,-0.4722220833333336,1.0939647037946147,-0.11145420161873983,easy,0,0
aa-lcr/aa-lcr/aa-lcr-98,aa-lcr,aa-lcr/aa-lcr-98,10,6,0.375,0.02,0.06,0.0,0.2,0.0125,0.20833333333333334,0.8068715304598785,0.06666667754857866,frontier,0,0
aa-lcr/aa-lcr/aa-lcr-99,aa-lcr,aa-lcr/aa-lcr-99,10,6,0.375,0.7,0.32557641192199416,0.0,1.0,0.7375,-0.11363636363636367,0.47618924635811277,-0.061615738962390455,easy,0,0
aider-polyglot/polyglot_cpp_all-your-base,aider-polyglot,polyglot_cpp_all-your-base,16,0,0.0,0.3,0.3674234614174767,0.0,1.0,0.3,0.33333333333333337,0.6123724356957945,0.21081864357169844,medium,0,0
aider-polyglot/polyglot_cpp_allergies,aider-polyglot,polyglot_cpp_allergies,16,0,0.0,0.36250000000000004,0.3479852726768764,0.0,1.0,0.36250000000000004,-0.06250000000000003,0.5799754544614606,0.2689686930659975,medium,0,0
aider-polyglot/polyglot_cpp_bank-account,aider-polyglot,polyglot_cpp_bank-account,16,0,0.0,0.5249999999999999,0.41758232721225164,0.0,1.0,0.5249999999999999,-0.08823529411764718,0.49127332613206076,0.32461734303837464,medium,0,0
aider-polyglot/polyglot_cpp_binary-search-tree,aider-polyglot,polyglot_cpp_binary-search-tree,16,0,0.0,0.2,0.32403703492039304,0.0,1.0,0.2,0.5,0.8100925873009825,0.15936393922681177,hard,0,0
aider-polyglot/polyglot_cpp_circular-buffer,aider-polyglot,polyglot_cpp_circular-buffer,16,0,0.0,0.3375,0.3919103851647721,0.0,1.0,0.3375,0.21153846153846156,0.6029390540996493,0.22235228040742647,medium,0,0
aider-polyglot/polyglot_cpp_clock,aider-polyglot,polyglot_cpp_clock,16,0,0.0,0.3125,0.32379584617471546,0.0,1.0,0.3125,0.25000000000000006,0.7195463248327011,0.2491915500590492,medium,0,0
aider-polyglot/polyglot_cpp_complex-numbers,aider-polyglot,polyglot_cpp_complex-numbers,16,0,0.0,0.6000000000000001,0.282842712474619,0.2,1.0,0.6000000000000001,6.245004513516506e-17,0.6285393610547089,-0.1825740520611772,medium,0,0
aider-polyglot/polyglot_cpp_crypto-square,aider-polyglot,polyglot_cpp_crypto-square,16,0,0.0,0.375,0.39921798556678284,0.0,1.0,0.375,0.21875,0.4990224819584785,0.2425357781022152,medium,0,0
aider-polyglot/polyglot_cpp_diamond,aider-polyglot,polyglot_cpp_diamond,16,0,0.0,0.5375,0.35859970719452633,0.0,1.0,0.5375,-0.12499999999999994,0.7171994143890527,0.3870108300193376,medium,0,0
aider-polyglot/polyglot_cpp_dnd-character,aider-polyglot,polyglot_cpp_dnd-character,16,0,0.0,0.525,0.3230711995830021,0.0,1.0,0.525,-0.16666666666666663,0.7179359990733379,0.41958081649131596,medium,0,0
aider-polyglot/polyglot_cpp_gigasecond,aider-polyglot,polyglot_cpp_gigasecond,16,0,0.0,0.375,0.38649062084350766,0.0,1.0,0.375,0.09374999999999996,0.48311327605438453,0.25052257022900887,medium,0,0
aider-polyglot/polyglot_cpp_grade-school,aider-polyglot,polyglot_cpp_grade-school,16,0,0.0,0.55,0.40311288741492746,0.0,1.0,0.55,0.0625,0.5038911092686593,0.3522820943451701,medium,0,0
aider-polyglot/polyglot_cpp_kindergarten-garden,aider-polyglot,polyglot_cpp_kindergarten-garden,16,0,0.0,0.1375,0.3295356581616017,0.0,1.0,0.1375,0.4172537829959849,1.0,0.10773456327325277,hard,0,0
aider-polyglot/polyglot_cpp_knapsack,aider-polyglot,polyglot_cpp_knapsack,16,0,0.0,0.625,0.4293891009329417,0.0,1.0,0.625,-0.3235294117647059,0.505163648156402,0.37582319797327685,medium,0,0
aider-polyglot/polyglot_cpp_linked-list,aider-polyglot,polyglot_cpp_linked-list,16,0,0.0,0.75,0.33541019662496846,0.0,1.0,0.75,-0.375,0.8385254915624212,0.269430333528866,easy,0,0
aider-polyglot/polyglot_cpp_meetup,aider-polyglot,polyglot_cpp_meetup,16,0,0.0,0.175,0.29895651857753497,0.0,1.0,0.175,0.875,1.4947825928876748,0.15114182659049094,hard,0,0
aider-polyglot/polyglot_cpp_parallel-letter-frequency,aider-polyglot,polyglot_cpp_parallel-letter-frequency,16,0,0.0,0.15000000000000002,0.26925824035672524,0.0,0.8,0.15000000000000002,0.75,1.346291201783626,0.14383908087607028,hard,0,0
aider-polyglot/polyglot_cpp_perfect-numbers,aider-polyglot,polyglot_cpp_perfect-numbers,16,0,0.0,0.6875,0.35333235062756424,0.0,1.0,0.6875,-0.2500000000000001,0.7851830013945872,0.3562425969117071,medium,0,0
aider-polyglot/polyglot_cpp_phone-number,aider-polyglot,polyglot_cpp_phone-number,16,0,0.0,0.275,0.33071891388307384,0.0,1.0,0.275,0.29166666666666674,0.551198189805123,0.21469810806047865,hard,0,0
